protein,renan_analysis/W_2_BETA_12_D_8_mu_0.0,renan_analysis/W_2_BETA_3_D_8_mu_5e-05
A1BG,0.22,0.34
A1CF,0.38,0.32
A2M,0.98,0.28
AAAS,0.36,0.02
AACS,0.18,0.0
AADAT,0.04,0.02
AAGAB,0.22,0.14
AAK1,0.2,0.06
AAMDC,0.14,0.0
AAMP,0.74,0.26
AANAT,0.24,0.0
AAR2,0.68,0.06
AARS,0.88,0.0
AARS2,0.2,0.0
AASDHPPT,0.72,0.3
AASS,0.24,0.0
AATF,0.94,0.64
AATK,0.16,0.12
ABAT,0.12,0.06
ABCA1,0.9,0.4
ABCA10,0.02,0.0
ABCA12,0.06,0.0
ABCA13,0.14,0.04
ABCA2,0.14,0.06
ABCA3,0.12,0.02
ABCA5,0.1,0.04
ABCA6,0.04,0.08
ABCA7,0.02,0.0
ABCA9,0.02,0.02
ABCB1,0.72,0.26
ABCB10,0.24,0.06
ABCB11,0.12,0.02
ABCB4,0.04,0.04
ABCB5,0.02,0.06
ABCB6,0.46,0.1
ABCB7,0.34,0.06
ABCB8,0.26,0.08
ABCB9,0.04,0.0
ABCC1,0.76,0.38
ABCC10,0.06,0.0
ABCC12,0.06,0.06
ABCC2,0.78,0.24
ABCC3,0.3,0.04
ABCC4,0.54,0.28
ABCC5,0.28,0.02
ABCC6,0.2,0.1
ABCC8,0.12,0.08
ABCC9,0.16,0.04
ABCD1,0.66,0.56
ABCD2,0.56,0.38
ABCD3,0.86,0.68
ABCD4,0.32,0.06
ABCE1,0.72,0.08
ABCF1,0.82,0.22
ABCF2,0.54,0.04
ABCF3,0.78,0.22
ABCG1,0.18,0.02
ABCG2,0.32,0.14
ABCG5,0.1,0.02
ABCG8,0.34,0.14
ABHD10,0.16,0.02
ABHD11,0.08,0.02
ABHD12,0.06,0.0
ABHD14A,0.32,0.26
ABHD14B,0.0,0.04
ABHD16A,0.66,0.42
ABHD17A,0.42,0.2
ABHD17B,0.2,0.0
ABHD17C,0.2,0.0
ABHD2,0.28,0.0
ABHD3,0.18,0.0
ABHD4,0.34,0.02
ABHD5,0.14,0.04
ABHD6,0.18,0.04
ABI1,1.0,0.42
ABI2,0.86,0.46
ABI3,0.58,0.34
ABI3BP,0.26,0.16
ABL1,1.0,0.0
ABL2,0.82,0.52
ABLIM1,0.78,0.36
ABLIM2,0.14,0.06
ABLIM3,0.2,0.0
ABR,0.3,0.14
ABRA,0.18,0.04
ABRACL,0.04,0.0
ABT1,0.36,0.06
ABTB1,0.08,0.1
ABTB2,0.3,0.1
ACAA1,0.48,0.16
ACAA2,0.48,0.2
ACACA,0.96,0.0
ACACB,0.36,0.04
ACAD10,0.06,0.0
ACAD11,0.22,0.1
ACAD8,0.12,0.04
ACAD9,0.34,0.12
ACADL,0.04,0.0
ACADM,0.24,0.14
ACADS,0.0,0.04
ACADSB,0.18,0.02
ACADVL,0.36,0.08
ACAN,0.22,0.06
ACAP1,0.46,0.14
ACAP2,0.06,0.0
ACAP3,0.14,0.06
ACAT1,0.82,0.04
ACAT2,0.68,0.18
ACBD3,0.74,0.4
ACBD4,0.06,0.0
ACBD5,0.3,0.0
ACBD6,0.34,0.0
ACCS,0.08,0.06
ACD,1.0,0.36
ACE,0.4,0.18
ACE2,0.16,0.06
ACER2,0.02,0.04
ACER3,0.06,0.08
ACHE,0.34,0.14
ACIN1,0.96,0.24
ACKR2,0.32,0.26
ACKR3,0.22,0.04
ACKR4,0.44,0.36
ACLY,0.92,0.18
ACMSD,0.1,0.02
ACO1,0.7,0.26
ACO2,0.5,0.04
ACOT1,0.18,0.0
ACOT13,0.14,0.14
ACOT2,0.24,0.02
ACOT4,0.02,0.02
ACOT7,0.82,0.22
ACOT8,0.22,0.04
ACOT9,0.56,0.04
ACOX1,0.4,0.06
ACOX2,0.04,0.0
ACOX3,0.3,0.12
ACOXL,0.02,0.0
ACP1,0.7,0.3
ACP2,0.26,0.06
ACP5,0.38,0.38
ACP6,0.18,0.06
ACPL2,0.02,0.0
ACPP,0.1,0.02
ACR,0.2,0.02
ACRBP,0.04,0.0
ACSBG1,0.12,0.0
ACSF2,0.08,0.0
ACSF3,0.14,0.1
ACSL1,1.0,1.0
ACSL3,0.6,0.16
ACSL4,0.74,0.0
ACSL5,0.14,0.0
ACSL6,0.02,0.04
ACSM3,0.02,0.02
ACSM5,0.12,0.0
ACSS2,0.3,0.04
ACTA1,1.0,0.1
ACTA2,1.0,1.0
ACTB,1.0,0.0
ACTBL2,0.84,0.08
ACTC1,0.94,0.26
ACTG1,1.0,0.16
ACTG2,0.52,0.3
ACTL6A,1.0,0.58
ACTL6B,0.46,0.2
ACTL7A,0.2,0.08
ACTL7B,0.06,0.0
ACTL8,0.06,0.0
ACTN1,1.0,0.28
ACTN2,0.98,0.56
ACTN3,0.32,0.14
ACTN4,1.0,0.68
ACTR10,0.46,0.32
ACTR1A,0.72,0.48
ACTR1B,0.56,0.3
ACTR2,1.0,1.0
ACTR3,0.98,0.74
ACTR3B,0.68,0.38
ACTR5,0.82,0.62
ACTR6,0.62,0.24
ACTR8,0.7,0.5
ACVR1,0.96,0.38
ACVR1B,0.88,0.76
ACVR1C,0.04,0.0
ACVR2A,0.94,0.74
ACVR2B,0.9,0.64
ACVRL1,0.9,0.68
ACY1,0.38,0.22
ACY3,0.14,0.14
ACYP1,0.18,0.0
ACYP2,0.0,0.02
ADA,0.36,0.24
ADAD2,0.04,0.0
ADAM10,0.52,0.1
ADAM11,0.12,0.0
ADAM12,0.5,0.3
ADAM15,0.96,0.76
ADAM17,0.84,0.64
ADAM19,0.26,0.1
ADAM2,0.16,0.22
ADAM22,0.48,0.2
ADAM23,0.06,0.0
ADAM29,0.04,0.06
ADAM33,0.08,0.12
ADAM8,0.08,0.06
ADAM9,0.68,0.56
ADAMTS1,0.18,0.16
ADAMTS10,0.34,0.0
ADAMTS13,0.18,0.12
ADAMTS2,0.06,0.0
ADAMTS4,0.34,0.34
ADAMTS5,0.06,0.0
ADAMTS9,0.1,0.06
ADAMTSL2,0.08,0.08
ADAMTSL4,0.64,0.64
ADAP1,0.68,0.48
ADAP2,0.46,0.28
ADAR,0.78,0.18
ADARB1,0.24,0.02
ADARB2,0.08,0.0
ADAT1,0.2,0.0
ADAT2,0.12,0.0
ADAT3,0.04,0.08
ADCK1,0.02,0.04
ADCK2,0.14,0.0
ADCK3,0.3,0.12
ADCK4,0.14,0.0
ADCK5,0.04,0.0
ADCY10,0.06,0.04
ADCY2,0.12,0.0
ADCY3,0.28,0.0
ADCY4,0.16,0.0
ADCY5,0.34,0.14
ADCY6,0.2,0.04
ADCY7,0.4,0.12
ADCY8,0.12,0.0
ADCY9,0.28,0.0
ADCYAP1,0.08,0.04
ADCYAP1R1,0.04,0.0
ADD1,0.54,0.16
ADD2,0.28,0.02
ADD3,0.3,0.02
ADH1A,0.12,0.0
ADH1B,0.16,0.08
ADH4,0.36,0.0
ADH5,0.6,0.22
ADH6,0.24,0.18
ADH7,0.06,0.0
ADHFE1,0.32,0.02
ADI1,0.44,0.16
ADIPOQ,0.14,0.06
ADIPOR1,0.58,0.34
ADIPOR2,0.18,0.08
ADIRF,0.22,0.02
ADK,0.36,0.0
ADM,0.02,0.0
ADNP,0.7,0.4
ADNP2,0.32,0.2
ADO,0.02,0.0
ADORA1,0.38,0.18
ADORA2A,0.62,0.3
ADORA2B,0.16,0.06
ADORA3,0.16,0.04
ADPGK,0.16,0.1
ADPRH,0.2,0.06
ADPRHL2,0.14,0.06
ADPRM,0.04,0.0
ADRA1A,0.1,0.06
ADRA1B,0.24,0.06
ADRA1D,0.36,0.32
ADRA2A,0.32,0.28
ADRA2B,0.14,0.08
ADRA2C,0.12,0.04
ADRB1,0.76,0.56
ADRB2,1.0,0.18
ADRB3,0.1,0.02
ADRBK1,1.0,0.0
ADRBK2,0.4,0.06
ADRM1,0.98,0.4
ADSL,0.72,0.26
ADSS,0.78,0.32
ADSSL1,0.12,0.04
ADTRP,0.1,0.08
AEBP1,0.08,0.0
AEBP2,0.5,0.38
AEN,0.1,0.02
AES,0.96,0.64
AFAP1,0.32,0.18
AFAP1L1,0.1,0.02
AFAP1L2,0.18,0.12
AFF1,0.94,0.88
AFF2,0.06,0.02
AFF3,0.22,0.12
AFF4,0.94,0.74
AFG3L2,0.64,0.18
AFP,0.46,0.5
AFTPH,0.24,0.2
AGA,0.02,0.0
AGAP1,0.18,0.0
AGAP2,0.42,0.26
AGAP3,0.18,0.0
AGAP4,0.0,0.04
AGER,0.52,0.28
AGFG1,0.76,0.32
AGFG2,0.14,0.08
AGGF1,0.44,0.34
AGK,0.52,0.08
AGL,0.64,0.14
AGMAT,0.22,0.12
AGO1,0.86,0.66
AGO2,0.98,0.9
AGO3,0.88,0.5
AGO4,0.94,0.5
AGPAT1,0.08,0.0
AGPAT2,0.48,0.0
AGPAT3,0.22,0.02
AGPAT4,0.12,0.04
AGPAT5,0.3,0.0
AGPAT6,0.18,0.06
AGPAT9,0.16,0.0
AGPS,0.56,0.16
AGR2,0.64,0.4
AGR3,0.14,0.02
AGRN,0.32,0.24
AGRP,0.18,0.02
AGT,0.66,0.34
AGTPBP1,0.46,0.14
AGTR1,0.5,0.22
AGTR2,0.38,0.2
AGTRAP,0.4,0.24
AGXT,0.5,0.24
AGXT2,0.12,0.1
AHCTF1,0.44,0.02
AHCY,0.94,0.0
AHCYL1,0.96,0.14
AHCYL2,0.34,0.02
AHDC1,0.36,0.14
AHI1,0.24,0.02
AHNAK,0.78,0.12
AHNAK2,0.2,0.04
AHR,1.0,0.88
AHRR,0.2,0.2
AHSA1,0.94,0.0
AHSA2,0.12,0.0
AHSG,0.4,0.2
AHSP,0.34,0.3
AICDA,0.92,0.48
AIDA,0.2,0.04
AIF1,0.18,0.0
AIF1L,0.18,0.04
AIFM1,0.92,0.28
AIFM2,0.24,0.0
AIFM3,0.06,0.02
AIG1,0.08,0.2
AIM1,0.16,0.02
AIM1L,0.04,0.0
AIM2,0.36,0.22
AIMP1,0.92,0.38
AIMP2,1.0,0.7
AIP,1.0,1.0
AIPL1,0.54,0.2
AIRE,0.98,0.5
AJAP1,0.06,0.02
AJUBA,0.74,0.5
AK1,0.52,0.32
AK2,0.6,0.02
AK3,0.1,0.04
AK5,0.3,0.14
AK7,0.06,0.0
AK8,0.08,0.04
AK9,0.1,0.0
AKAP1,0.7,0.54
AKAP10,0.34,0.36
AKAP11,0.76,0.16
AKAP12,0.5,0.2
AKAP13,0.86,0.44
AKAP14,0.12,0.02
AKAP17A,0.46,0.38
AKAP3,0.36,0.1
AKAP4,0.38,0.2
AKAP5,0.54,0.24
AKAP6,0.44,0.38
AKAP7,0.14,0.12
AKAP8,0.88,0.26
AKAP8L,0.84,0.42
AKAP9,0.92,0.34
AKIP1,0.4,0.04
AKIRIN2,0.26,0.12
AKNA,0.3,0.2
AKNAD1,0.06,0.0
